question_id,rodadas_executadas,status_final
32,2,APROVADO
26,4,LIMITE_RODADAS_ATINGIDO
2,4,LIMITE_RODADAS_ATINGIDO
36,4,LIMITE_RODADAS_ATINGIDO
22,4,LIMITE_RODADAS_ATINGIDO
37,4,LIMITE_RODADAS_ATINGIDO
39,3,APROVADO
62,4,LIMITE_RODADAS_ATINGIDO
63,4,APROVADO
56,4,LIMITE_RODADAS_ATINGIDO
69,2,APROVADO
66,4,LIMITE_RODADAS_ATINGIDO
74,4,LIMITE_RODADAS_ATINGIDO
78,4,LIMITE_RODADAS_ATINGIDO
85,4,LIMITE_RODADAS_ATINGIDO
86,4,LIMITE_RODADAS_ATINGIDO
93,4,LIMITE_RODADAS_ATINGIDO
106,4,APROVADO
98,4,LIMITE_RODADAS_ATINGIDO
109,4,LIMITE_RODADAS_ATINGIDO
117,4,LIMITE_RODADAS_ATINGIDO
123,3,APROVADO
118,4,LIMITE_RODADAS_ATINGIDO
122,4,LIMITE_RODADAS_ATINGIDO
151,2,APROVADO
141,2,APROVADO
132,4,LIMITE_RODADAS_ATINGIDO
131,4,APROVADO
160,4,LIMITE_RODADAS_ATINGIDO
165,4,APROVADO
167,4,LIMITE_RODADAS_ATINGIDO
171,3,APROVADO
184,3,APROVADO
227,2,APROVADO
228,3,APROVADO
224,3,APROVADO
229,3,APROVADO
186,4,LIMITE_RODADAS_ATINGIDO
238,3,APROVADO
251,4,LIMITE_RODADAS_ATINGIDO
252,4,LIMITE_RODADAS_ATINGIDO
241,4,LIMITE_RODADAS_ATINGIDO
260,4,APROVADO
288,4,LIMITE_RODADAS_ATINGIDO
312,4,LIMITE_RODADAS_ATINGIDO
289,4,LIMITE_RODADAS_ATINGIDO
322,4,LIMITE_RODADAS_ATINGIDO
327,4,LIMITE_RODADAS_ATINGIDO
331,4,LIMITE_RODADAS_ATINGIDO
343,3,APROVADO
356,4,APROVADO
334,4,LIMITE_RODADAS_ATINGIDO
362,3,APROVADO
360,4,LIMITE_RODADAS_ATINGIDO
364,4,LIMITE_RODADAS_ATINGIDO
405,3,APROVADO
374,4,LIMITE_RODADAS_ATINGIDO
438,4,LIMITE_RODADAS_ATINGIDO
418,4,APROVADO
483,3,APROVADO
457,4,LIMITE_RODADAS_ATINGIDO
470,4,LIMITE_RODADAS_ATINGIDO
489,4,LIMITE_RODADAS_ATINGIDO
503,3,APROVADO
500,4,LIMITE_RODADAS_ATINGIDO
512,4,LIMITE_RODADAS_ATINGIDO
519,4,LIMITE_RODADAS_ATINGIDO
526,3,APROVADO
567,3,APROVADO
536,4,LIMITE_RODADAS_ATINGIDO
540,4,LIMITE_RODADAS_ATINGIDO
601,2,APROVADO
568,4,LIMITE_RODADAS_ATINGIDO
589,4,LIMITE_RODADAS_ATINGIDO
591,4,LIMITE_RODADAS_ATINGIDO
620,4,LIMITE_RODADAS_ATINGIDO
615,4,LIMITE_RODADAS_ATINGIDO
623,4,LIMITE_RODADAS_ATINGIDO
645,4,LIMITE_RODADAS_ATINGIDO
651,4,LIMITE_RODADAS_ATINGIDO
670,4,LIMITE_RODADAS_ATINGIDO
669,4,LIMITE_RODADAS_ATINGIDO
690,4,LIMITE_RODADAS_ATINGIDO
704,3,APROVADO
700,4,LIMITE_RODADAS_ATINGIDO
743,2,APROVADO
729,4,APROVADO
707,4,LIMITE_RODADAS_ATINGIDO
767,3,APROVADO
753,4,LIMITE_RODADAS_ATINGIDO
777,4,LIMITE_RODADAS_ATINGIDO
792,3,APROVADO
787,4,LIMITE_RODADAS_ATINGIDO
808,2,APROVADO
801,3,APROVADO
794,4,APROVADO
840,3,APROVADO
818,4,APROVADO
827,4,LIMITE_RODADAS_ATINGIDO
844,4,LIMITE_RODADAS_ATINGIDO
