question_id,rodadas_executadas,status_final
2,3,LIMITE_RODADAS_ATINGIDO
22,3,LIMITE_RODADAS_ATINGIDO
26,3,LIMITE_RODADAS_ATINGIDO
32,2,APROVADO
36,3,LIMITE_RODADAS_ATINGIDO
37,3,LIMITE_RODADAS_ATINGIDO
39,3,LIMITE_RODADAS_ATINGIDO
56,3,LIMITE_RODADAS_ATINGIDO
62,3,LIMITE_RODADAS_ATINGIDO
63,3,LIMITE_RODADAS_ATINGIDO
66,3,LIMITE_RODADAS_ATINGIDO
69,2,APROVADO
74,3,LIMITE_RODADAS_ATINGIDO
78,3,LIMITE_RODADAS_ATINGIDO
85,3,LIMITE_RODADAS_ATINGIDO
86,3,APROVADO
93,2,APROVADO
98,3,LIMITE_RODADAS_ATINGIDO
106,3,LIMITE_RODADAS_ATINGIDO
109,3,LIMITE_RODADAS_ATINGIDO
117,3,LIMITE_RODADAS_ATINGIDO
118,3,LIMITE_RODADAS_ATINGIDO
122,3,LIMITE_RODADAS_ATINGIDO
123,3,LIMITE_RODADAS_ATINGIDO
131,2,APROVADO
132,2,APROVADO
141,3,LIMITE_RODADAS_ATINGIDO
151,3,LIMITE_RODADAS_ATINGIDO
160,3,LIMITE_RODADAS_ATINGIDO
165,2,APROVADO
167,3,LIMITE_RODADAS_ATINGIDO
171,3,LIMITE_RODADAS_ATINGIDO
184,3,LIMITE_RODADAS_ATINGIDO
186,3,LIMITE_RODADAS_ATINGIDO
224,3,APROVADO
227,3,APROVADO
228,3,LIMITE_RODADAS_ATINGIDO
229,3,LIMITE_RODADAS_ATINGIDO
238,3,LIMITE_RODADAS_ATINGIDO
241,3,LIMITE_RODADAS_ATINGIDO
251,3,LIMITE_RODADAS_ATINGIDO
252,3,LIMITE_RODADAS_ATINGIDO
260,3,LIMITE_RODADAS_ATINGIDO
288,3,LIMITE_RODADAS_ATINGIDO
289,3,LIMITE_RODADAS_ATINGIDO
312,3,LIMITE_RODADAS_ATINGIDO
322,2,APROVADO
327,3,LIMITE_RODADAS_ATINGIDO
331,3,LIMITE_RODADAS_ATINGIDO
334,3,APROVADO
343,3,LIMITE_RODADAS_ATINGIDO
356,3,APROVADO
360,3,APROVADO
362,3,LIMITE_RODADAS_ATINGIDO
364,3,LIMITE_RODADAS_ATINGIDO
374,3,LIMITE_RODADAS_ATINGIDO
405,3,LIMITE_RODADAS_ATINGIDO
418,3,LIMITE_RODADAS_ATINGIDO
438,3,LIMITE_RODADAS_ATINGIDO
457,3,LIMITE_RODADAS_ATINGIDO
470,3,LIMITE_RODADAS_ATINGIDO
483,3,LIMITE_RODADAS_ATINGIDO
489,3,LIMITE_RODADAS_ATINGIDO
500,3,LIMITE_RODADAS_ATINGIDO
503,3,LIMITE_RODADAS_ATINGIDO
512,3,LIMITE_RODADAS_ATINGIDO
519,3,LIMITE_RODADAS_ATINGIDO
526,3,LIMITE_RODADAS_ATINGIDO
536,3,LIMITE_RODADAS_ATINGIDO
540,3,LIMITE_RODADAS_ATINGIDO
568,3,LIMITE_RODADAS_ATINGIDO
589,3,LIMITE_RODADAS_ATINGIDO
591,3,LIMITE_RODADAS_ATINGIDO
601,3,LIMITE_RODADAS_ATINGIDO
615,3,LIMITE_RODADAS_ATINGIDO
620,3,LIMITE_RODADAS_ATINGIDO
623,3,LIMITE_RODADAS_ATINGIDO
645,3,APROVADO
651,3,LIMITE_RODADAS_ATINGIDO
669,3,LIMITE_RODADAS_ATINGIDO
670,3,LIMITE_RODADAS_ATINGIDO
690,3,LIMITE_RODADAS_ATINGIDO
700,3,LIMITE_RODADAS_ATINGIDO
704,3,LIMITE_RODADAS_ATINGIDO
707,3,LIMITE_RODADAS_ATINGIDO
729,3,LIMITE_RODADAS_ATINGIDO
743,3,LIMITE_RODADAS_ATINGIDO
753,3,LIMITE_RODADAS_ATINGIDO
767,2,APROVADO
777,3,LIMITE_RODADAS_ATINGIDO
787,3,LIMITE_RODADAS_ATINGIDO
792,3,LIMITE_RODADAS_ATINGIDO
794,3,LIMITE_RODADAS_ATINGIDO
801,3,LIMITE_RODADAS_ATINGIDO
808,3,LIMITE_RODADAS_ATINGIDO
818,3,LIMITE_RODADAS_ATINGIDO
827,3,LIMITE_RODADAS_ATINGIDO
840,3,LIMITE_RODADAS_ATINGIDO
844,3,LIMITE_RODADAS_ATINGIDO
567,2,APROVADO
